,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
51,51,51.0,51.0,51.0,guo_readmission,guo_readmission,count,gbm,1,8,auroc,0.6328209115922957
52,52,52.0,52.0,52.0,guo_readmission,guo_readmission,count,gbm,1,8,auprc,0.2050964005366883
53,53,53.0,53.0,53.0,guo_readmission,guo_readmission,count,gbm,1,8,brier,0.4324966811944308
54,54,54.0,54.0,54.0,guo_readmission,guo_readmission,count,gbm,2,8,auroc,0.5502063643976552
55,55,55.0,55.0,55.0,guo_readmission,guo_readmission,count,gbm,2,8,auprc,0.1442887791702242
56,56,56.0,56.0,56.0,guo_readmission,guo_readmission,count,gbm,2,8,brier,0.5901932228443515
57,57,57.0,57.0,57.0,guo_readmission,guo_readmission,count,gbm,3,8,auroc,0.6328617857000439
58,58,58.0,58.0,58.0,guo_readmission,guo_readmission,count,gbm,3,8,auprc,0.1651238511810484
59,59,59.0,59.0,59.0,guo_readmission,guo_readmission,count,gbm,3,8,brier,0.3520707305471165
60,60,60.0,60.0,60.0,guo_readmission,guo_readmission,count,gbm,4,8,auroc,0.700947082984408
61,61,61.0,61.0,61.0,guo_readmission,guo_readmission,count,gbm,4,8,auprc,0.2339781283902858
62,62,62.0,62.0,62.0,guo_readmission,guo_readmission,count,gbm,4,8,brier,0.2323649458201498
63,63,63.0,63.0,63.0,guo_readmission,guo_readmission,count,gbm,0,12,auroc,0.5218078318778163
64,64,64.0,64.0,64.0,guo_readmission,guo_readmission,count,gbm,0,12,auprc,0.1286846107781159
65,65,65.0,65.0,65.0,guo_readmission,guo_readmission,count,gbm,0,12,brier,0.4898462713969557
66,66,66.0,66.0,66.0,guo_readmission,guo_readmission,count,gbm,1,12,auroc,0.5835416915899031
67,67,67.0,67.0,67.0,guo_readmission,guo_readmission,count,gbm,1,12,auprc,0.1580678477190008
68,68,68.0,68.0,68.0,guo_readmission,guo_readmission,count,gbm,1,12,brier,0.4579685505650426
69,69,69.0,69.0,69.0,guo_readmission,guo_readmission,count,gbm,2,12,auroc,0.5660336164612991
70,70,70.0,70.0,70.0,guo_readmission,guo_readmission,count,gbm,2,12,auprc,0.1474697492484962
71,71,71.0,71.0,71.0,guo_readmission,guo_readmission,count,gbm,2,12,brier,0.3155417499854646
72,72,72.0,72.0,72.0,guo_readmission,guo_readmission,count,gbm,3,12,auroc,0.625414722654225
73,73,73.0,73.0,73.0,guo_readmission,guo_readmission,count,gbm,3,12,auprc,0.1870080541255232
74,74,74.0,74.0,74.0,guo_readmission,guo_readmission,count,gbm,3,12,brier,0.4477751282111881
75,75,75.0,75.0,75.0,guo_readmission,guo_readmission,count,gbm,4,12,auroc,0.7002711648123779
76,76,76.0,76.0,76.0,guo_readmission,guo_readmission,count,gbm,4,12,auprc,0.2213762955389442
77,77,77.0,77.0,77.0,guo_readmission,guo_readmission,count,gbm,4,12,brier,0.3658525278425496
78,78,78.0,78.0,78.0,guo_readmission,guo_readmission,count,gbm,0,16,auroc,0.6686216453323762
79,79,79.0,79.0,79.0,guo_readmission,guo_readmission,count,gbm,0,16,auprc,0.1874795547366945
80,80,80.0,80.0,80.0,guo_readmission,guo_readmission,count,gbm,0,16,brier,0.3663922809555309
81,81,81.0,81.0,81.0,guo_readmission,guo_readmission,count,gbm,1,16,auroc,0.5979313713761614
82,82,82.0,82.0,82.0,guo_readmission,guo_readmission,count,gbm,1,16,auprc,0.1713459306618116
83,83,83.0,83.0,83.0,guo_readmission,guo_readmission,count,gbm,1,16,brier,0.3499212987076245
84,84,84.0,84.0,84.0,guo_readmission,guo_readmission,count,gbm,2,16,auroc,0.6196793874865415
85,85,85.0,85.0,85.0,guo_readmission,guo_readmission,count,gbm,2,16,auprc,0.1730746854247938
86,86,86.0,86.0,86.0,guo_readmission,guo_readmission,count,gbm,2,16,brier,0.2478011496839865
87,87,87.0,87.0,87.0,guo_readmission,guo_readmission,count,gbm,3,16,auroc,0.6508274514495355
88,88,88.0,88.0,88.0,guo_readmission,guo_readmission,count,gbm,3,16,auprc,0.1965276570352999
89,89,89.0,89.0,89.0,guo_readmission,guo_readmission,count,gbm,3,16,brier,0.3212366875336132
90,90,90.0,90.0,90.0,guo_readmission,guo_readmission,count,gbm,4,16,auroc,0.5663406707341389
91,91,91.0,91.0,91.0,guo_readmission,guo_readmission,count,gbm,4,16,auprc,0.1569325297636422
92,92,92.0,92.0,92.0,guo_readmission,guo_readmission,count,gbm,4,16,brier,0.4718019686117962
93,93,93.0,93.0,93.0,guo_readmission,guo_readmission,count,gbm,0,24,auroc,0.7123589344817961
94,94,94.0,94.0,94.0,guo_readmission,guo_readmission,count,gbm,0,24,auprc,0.2232068011591126
95,95,95.0,95.0,95.0,guo_readmission,guo_readmission,count,gbm,0,24,brier,0.3659647972791578
96,96,96.0,96.0,96.0,guo_readmission,guo_readmission,count,gbm,1,24,auroc,0.6839105554890936
97,97,97.0,97.0,97.0,guo_readmission,guo_readmission,count,gbm,1,24,auprc,0.2125276280126617
98,98,98.0,98.0,98.0,guo_readmission,guo_readmission,count,gbm,1,24,brier,0.4088506253545575
99,99,99.0,99.0,99.0,guo_readmission,guo_readmission,count,gbm,2,24,auroc,0.6548191569964509
100,100,100.0,100.0,100.0,guo_readmission,guo_readmission,count,gbm,2,24,auprc,0.1864033911819351
101,101,101.0,101.0,101.0,guo_readmission,guo_readmission,count,gbm,2,24,brier,0.3048789358341747
102,102,102.0,102.0,102.0,guo_readmission,guo_readmission,count,gbm,3,24,auroc,0.688621047174702
103,103,103.0,103.0,103.0,guo_readmission,guo_readmission,count,gbm,3,24,auprc,0.2402855761940988
104,104,104.0,104.0,104.0,guo_readmission,guo_readmission,count,gbm,3,24,brier,0.3668786375613865
105,105,105.0,105.0,105.0,guo_readmission,guo_readmission,count,gbm,4,24,auroc,0.6591916895960441
106,106,106.0,106.0,106.0,guo_readmission,guo_readmission,count,gbm,4,24,auprc,0.2122696528773553
107,107,107.0,107.0,107.0,guo_readmission,guo_readmission,count,gbm,4,24,brier,0.4106435183015196
108,108,108.0,108.0,108.0,guo_readmission,guo_readmission,count,gbm,0,32,auroc,0.6634884555568848
109,109,109.0,109.0,109.0,guo_readmission,guo_readmission,count,gbm,0,32,auprc,0.1823303972989386
110,110,110.0,110.0,110.0,guo_readmission,guo_readmission,count,gbm,0,32,brier,0.3458030409509625
111,111,111.0,111.0,111.0,guo_readmission,guo_readmission,count,gbm,1,32,auroc,0.6813394744187902
112,112,112.0,112.0,112.0,guo_readmission,guo_readmission,count,gbm,1,32,auprc,0.2172179569267549
113,113,113.0,113.0,113.0,guo_readmission,guo_readmission,count,gbm,1,32,brier,0.3797979147823496
114,114,114.0,114.0,114.0,guo_readmission,guo_readmission,count,gbm,2,32,auroc,0.6548660126809427
115,115,115.0,115.0,115.0,guo_readmission,guo_readmission,count,gbm,2,32,auprc,0.1851649631410728
116,116,116.0,116.0,116.0,guo_readmission,guo_readmission,count,gbm,2,32,brier,0.2993767426782652
117,117,117.0,117.0,117.0,guo_readmission,guo_readmission,count,gbm,3,32,auroc,0.7359253499222396
118,118,118.0,118.0,118.0,guo_readmission,guo_readmission,count,gbm,3,32,auprc,0.2778384707000209
119,119,119.0,119.0,119.0,guo_readmission,guo_readmission,count,gbm,3,32,brier,0.3148837291805072
120,120,120.0,120.0,120.0,guo_readmission,guo_readmission,count,gbm,4,32,auroc,0.7061919288591139
121,121,121.0,121.0,121.0,guo_readmission,guo_readmission,count,gbm,4,32,auprc,0.1996064269388477
122,122,122.0,122.0,122.0,guo_readmission,guo_readmission,count,gbm,4,32,brier,0.399652426592064
123,123,123.0,123.0,123.0,guo_readmission,guo_readmission,count,gbm,0,48,auroc,0.7019739203253978
124,124,124.0,124.0,124.0,guo_readmission,guo_readmission,count,gbm,0,48,auprc,0.210927993785308
125,125,125.0,125.0,125.0,guo_readmission,guo_readmission,count,gbm,0,48,brier,0.2992926093369006
126,126,126.0,126.0,126.0,guo_readmission,guo_readmission,count,gbm,1,48,auroc,0.6860569446105993
127,127,127.0,127.0,127.0,guo_readmission,guo_readmission,count,gbm,1,48,auprc,0.2148006281624612
