,labeling_function,sub_task,model,head,replicate,k,score,value
80,chexpert,No Finding,count,gbm,0,16,brier,0.39587474254281146
81,chexpert,No Finding,count,gbm,1,16,auroc,0.551772943119696
82,chexpert,No Finding,count,gbm,1,16,auprc,0.4267026865130472
83,chexpert,No Finding,count,gbm,1,16,brier,0.38265521976363587
84,chexpert,No Finding,count,gbm,2,16,auroc,0.49224134916660967
85,chexpert,No Finding,count,gbm,2,16,auprc,0.3938071318473861
86,chexpert,No Finding,count,gbm,2,16,brier,0.46871966034279205
87,chexpert,No Finding,count,gbm,3,16,auroc,0.4948132443790977
88,chexpert,No Finding,count,gbm,3,16,auprc,0.3942725808414233
89,chexpert,No Finding,count,gbm,3,16,brier,0.49154177620503087
90,chexpert,No Finding,count,gbm,4,16,auroc,0.5143050036262059
91,chexpert,No Finding,count,gbm,4,16,auprc,0.41325980092361175
92,chexpert,No Finding,count,gbm,4,16,brier,0.30762696351425667
93,chexpert,No Finding,count,gbm,0,24,auroc,0.5582694411848936
94,chexpert,No Finding,count,gbm,0,24,auprc,0.4434643331374882
95,chexpert,No Finding,count,gbm,0,24,brier,0.45131922245091044
96,chexpert,No Finding,count,gbm,1,24,auroc,0.5313514038199434
97,chexpert,No Finding,count,gbm,1,24,auprc,0.40261026507543723
98,chexpert,No Finding,count,gbm,1,24,brier,0.469212097105128
99,chexpert,No Finding,count,gbm,2,24,auroc,0.5188821772581184
100,chexpert,No Finding,count,gbm,2,24,auprc,0.400212469089554
101,chexpert,No Finding,count,gbm,2,24,brier,0.4115729258430825
102,chexpert,No Finding,count,gbm,3,24,auroc,0.4913333938290842
103,chexpert,No Finding,count,gbm,3,24,auprc,0.384567324964465
104,chexpert,No Finding,count,gbm,3,24,brier,0.4170143411911106
105,chexpert,No Finding,count,gbm,4,24,auroc,0.5242222013648729
106,chexpert,No Finding,count,gbm,4,24,auprc,0.40998472322006185
107,chexpert,No Finding,count,gbm,4,24,brier,0.49303344497710255
108,chexpert,No Finding,count,gbm,0,32,auroc,0.551147552958674
109,chexpert,No Finding,count,gbm,0,32,auprc,0.44538274063468447
110,chexpert,No Finding,count,gbm,0,32,brier,0.2817110334837368
111,chexpert,No Finding,count,gbm,1,32,auroc,0.5266689288868673
112,chexpert,No Finding,count,gbm,1,32,auprc,0.4091147296544106
113,chexpert,No Finding,count,gbm,1,32,brier,0.41603662070397734
114,chexpert,No Finding,count,gbm,2,32,auroc,0.5317828489449885
115,chexpert,No Finding,count,gbm,2,32,auprc,0.42135426593695635
116,chexpert,No Finding,count,gbm,2,32,brier,0.4342945744054782
117,chexpert,No Finding,count,gbm,3,32,auroc,0.5314554546239163
118,chexpert,No Finding,count,gbm,3,32,auprc,0.43083123285628033
119,chexpert,No Finding,count,gbm,3,32,brier,0.506636318732462
120,chexpert,No Finding,count,gbm,4,32,auroc,0.5251449031315327
121,chexpert,No Finding,count,gbm,4,32,auprc,0.4135932643826084
122,chexpert,No Finding,count,gbm,4,32,brier,0.4729451151126287
123,chexpert,No Finding,count,gbm,0,48,auroc,0.5396869113667883
124,chexpert,No Finding,count,gbm,0,48,auprc,0.4215952814410002
125,chexpert,No Finding,count,gbm,0,48,brier,0.4717001713687622
126,chexpert,No Finding,count,gbm,1,48,auroc,0.5597119250856861
127,chexpert,No Finding,count,gbm,1,48,auprc,0.43553486477048003
128,chexpert,No Finding,count,gbm,1,48,brier,0.3988054149594395
129,chexpert,No Finding,count,gbm,2,48,auroc,0.5086539832275766
130,chexpert,No Finding,count,gbm,2,48,auprc,0.40427421305027156
131,chexpert,No Finding,count,gbm,2,48,brier,0.3415968279010568
132,chexpert,No Finding,count,gbm,3,48,auroc,0.5474656173438015
133,chexpert,No Finding,count,gbm,3,48,auprc,0.4445950510728714
134,chexpert,No Finding,count,gbm,3,48,brier,0.40526905383268436
135,chexpert,No Finding,count,gbm,4,48,auroc,0.5166446602755407
136,chexpert,No Finding,count,gbm,4,48,auprc,0.4037778098640571
137,chexpert,No Finding,count,gbm,4,48,brier,0.3486586757651162
138,chexpert,No Finding,count,gbm,0,64,auroc,0.5415830898049041
139,chexpert,No Finding,count,gbm,0,64,auprc,0.4261204261045477
140,chexpert,No Finding,count,gbm,0,64,brier,0.31434083328650014
141,chexpert,No Finding,count,gbm,1,64,auroc,0.5541044833344352
142,chexpert,No Finding,count,gbm,1,64,auprc,0.4329570921873538
143,chexpert,No Finding,count,gbm,1,64,brier,0.3811255855837267
144,chexpert,No Finding,count,gbm,2,64,auroc,0.5223627828253035
145,chexpert,No Finding,count,gbm,2,64,auprc,0.4046482910368067
146,chexpert,No Finding,count,gbm,2,64,brier,0.3986196878601281
147,chexpert,No Finding,count,gbm,3,64,auroc,0.5618265866178586
148,chexpert,No Finding,count,gbm,3,64,auprc,0.4385809248251202
149,chexpert,No Finding,count,gbm,3,64,brier,0.39857270232081204
150,chexpert,No Finding,count,gbm,4,64,auroc,0.5338851706652612
151,chexpert,No Finding,count,gbm,4,64,auprc,0.4289793689132755
152,chexpert,No Finding,count,gbm,4,64,brier,0.32543548595886634
153,chexpert,No Finding,count,gbm,0,128,auroc,0.5427803818791914
154,chexpert,No Finding,count,gbm,0,128,auprc,0.4345436008232307
155,chexpert,No Finding,count,gbm,0,128,brier,0.30106563311981555
156,chexpert,No Finding,count,gbm,1,128,auroc,0.5386033909425592
157,chexpert,No Finding,count,gbm,1,128,auprc,0.4246833668920274
158,chexpert,No Finding,count,gbm,1,128,brier,0.3907535674209797
159,chexpert,No Finding,count,gbm,2,128,auroc,0.5222987479314299
160,chexpert,No Finding,count,gbm,2,128,auprc,0.4100912399044012
161,chexpert,No Finding,count,gbm,2,128,brier,0.4139284444271859
162,chexpert,No Finding,count,gbm,3,128,auroc,0.5472706577535003
163,chexpert,No Finding,count,gbm,3,128,auprc,0.42294399067649235
164,chexpert,No Finding,count,gbm,3,128,brier,0.25926754524957746
165,chexpert,No Finding,count,gbm,4,128,auroc,0.5358305667852562
166,chexpert,No Finding,count,gbm,4,128,auprc,0.42584085751794937
167,chexpert,No Finding,count,gbm,4,128,brier,0.3159080588956259
168,chexpert,Enlarged Cardiomediastinum,count,gbm,0,-1,auroc,0.6556611899619459
169,chexpert,Enlarged Cardiomediastinum,count,gbm,0,-1,auprc,0.02889309243051609
170,chexpert,Enlarged Cardiomediastinum,count,gbm,0,-1,brier,0.01772563101081743
171,chexpert,Enlarged Cardiomediastinum,count,gbm,0,1,auroc,0.4416486681065515
172,chexpert,Enlarged Cardiomediastinum,count,gbm,0,1,auprc,0.016609063041467146
173,chexpert,Enlarged Cardiomediastinum,count,gbm,0,1,brier,0.2582631825012542
174,chexpert,Enlarged Cardiomediastinum,count,gbm,1,1,auroc,0.4442378895402654
175,chexpert,Enlarged Cardiomediastinum,count,gbm,1,1,auprc,0.016527637175084528
176,chexpert,Enlarged Cardiomediastinum,count,gbm,1,1,brier,0.2936070454872445
177,chexpert,Enlarged Cardiomediastinum,count,gbm,2,1,auroc,0.5557621104597346
178,chexpert,Enlarged Cardiomediastinum,count,gbm,2,1,auprc,0.0200873208001911
179,chexpert,Enlarged Cardiomediastinum,count,gbm,2,1,brier,0.5809480614512683
180,chexpert,Enlarged Cardiomediastinum,count,gbm,3,1,auroc,0.4740139360279749
181,chexpert,Enlarged Cardiomediastinum,count,gbm,3,1,auprc,0.017015679430395524
182,chexpert,Enlarged Cardiomediastinum,count,gbm,3,1,brier,0.38706172735669375
183,chexpert,Enlarged Cardiomediastinum,count,gbm,4,1,auroc,0.5557621104597346
184,chexpert,Enlarged Cardiomediastinum,count,gbm,4,1,auprc,0.0200873208001911
185,chexpert,Enlarged Cardiomediastinum,count,gbm,4,1,brier,0.5809480614512683
186,chexpert,Enlarged Cardiomediastinum,count,gbm,0,2,auroc,0.4889385991977785
187,chexpert,Enlarged Cardiomediastinum,count,gbm,0,2,auprc,0.01749735674215946
188,chexpert,Enlarged Cardiomediastinum,count,gbm,0,2,brier,0.12817940626450613
189,chexpert,Enlarged Cardiomediastinum,count,gbm,1,2,auroc,0.5827882340841304
190,chexpert,Enlarged Cardiomediastinum,count,gbm,1,2,auprc,0.021503532617780895
191,chexpert,Enlarged Cardiomediastinum,count,gbm,1,2,brier,0.5151258542799575
192,chexpert,Enlarged Cardiomediastinum,count,gbm,2,2,auroc,0.5289879666769516
193,chexpert,Enlarged Cardiomediastinum,count,gbm,2,2,auprc,0.018903061640606983
194,chexpert,Enlarged Cardiomediastinum,count,gbm,2,2,brier,0.7158973564886864
195,chexpert,Enlarged Cardiomediastinum,count,gbm,3,2,auroc,0.4740139360279749
196,chexpert,Enlarged Cardiomediastinum,count,gbm,3,2,auprc,0.017015679430395524
197,chexpert,Enlarged Cardiomediastinum,count,gbm,3,2,brier,0.3870617273566942
198,chexpert,Enlarged Cardiomediastinum,count,gbm,4,2,auroc,0.5743289108299907
199,chexpert,Enlarged Cardiomediastinum,count,gbm,4,2,auprc,0.02113434020172431
200,chexpert,Enlarged Cardiomediastinum,count,gbm,4,2,brier,0.4599527071252039
201,chexpert,Enlarged Cardiomediastinum,count,gbm,0,4,auroc,0.54146450426823
202,chexpert,Enlarged Cardiomediastinum,count,gbm,0,4,auprc,0.019981736552448802
203,chexpert,Enlarged Cardiomediastinum,count,gbm,0,4,brier,0.23981726056349162
204,chexpert,Enlarged Cardiomediastinum,count,gbm,1,4,auroc,0.4914024735164044
205,chexpert,Enlarged Cardiomediastinum,count,gbm,1,4,auprc,0.017648581725157354
206,chexpert,Enlarged Cardiomediastinum,count,gbm,1,4,brier,0.2598238206071295
207,chexpert,Enlarged Cardiomediastinum,count,gbm,2,4,auroc,0.587845829476499
208,chexpert,Enlarged Cardiomediastinum,count,gbm,2,4,auprc,0.022614748317242316
209,chexpert,Enlarged Cardiomediastinum,count,gbm,2,4,brier,0.40459595548740646
210,chexpert,Enlarged Cardiomediastinum,count,gbm,3,4,auroc,0.5464401419315026
211,chexpert,Enlarged Cardiomediastinum,count,gbm,3,4,auprc,0.02037263144072686
212,chexpert,Enlarged Cardiomediastinum,count,gbm,3,4,brier,0.44480533727406546
213,chexpert,Enlarged Cardiomediastinum,count,gbm,4,4,auroc,0.3652364239432274
214,chexpert,Enlarged Cardiomediastinum,count,gbm,4,4,auprc,0.014672014598770568
215,chexpert,Enlarged Cardiomediastinum,count,gbm,4,4,brier,0.6156546160826677
216,chexpert,Enlarged Cardiomediastinum,count,gbm,0,8,auroc,0.4743780854674483
217,chexpert,Enlarged Cardiomediastinum,count,gbm,0,8,auprc,0.01587567542866179
