,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
53,53,53.0,53.0,53.0,new_lupus,new_lupus,count,gbm,1,8,brier,0.5586501924894095
54,54,54.0,54.0,54.0,new_lupus,new_lupus,count,gbm,2,8,auroc,0.4636864597390914
55,55,55.0,55.0,55.0,new_lupus,new_lupus,count,gbm,2,8,auprc,0.0085688012361601
56,56,56.0,56.0,56.0,new_lupus,new_lupus,count,gbm,2,8,brier,0.4313281476086381
57,57,57.0,57.0,57.0,new_lupus,new_lupus,count,gbm,3,8,auroc,0.6944781826360774
58,58,58.0,58.0,58.0,new_lupus,new_lupus,count,gbm,3,8,auprc,0.0232900473253564
59,59,59.0,59.0,59.0,new_lupus,new_lupus,count,gbm,3,8,brier,0.4934277495817475
60,60,60.0,60.0,60.0,new_lupus,new_lupus,count,gbm,4,8,auroc,0.642600089968511
61,61,61.0,61.0,61.0,new_lupus,new_lupus,count,gbm,4,8,auprc,0.0144994949110342
62,62,62.0,62.0,62.0,new_lupus,new_lupus,count,gbm,4,8,brier,0.4144630550086349
63,63,63.0,63.0,63.0,new_lupus,new_lupus,count,gbm,0,12,auroc,0.530600539811066
64,64,64.0,64.0,64.0,new_lupus,new_lupus,count,gbm,0,12,auprc,0.01269255008895
65,65,65.0,65.0,65.0,new_lupus,new_lupus,count,gbm,0,12,brier,0.4692871013695089
66,66,66.0,66.0,66.0,new_lupus,new_lupus,count,gbm,1,12,auroc,0.591374269005848
67,67,67.0,67.0,67.0,new_lupus,new_lupus,count,gbm,1,12,auprc,0.0163141449070028
68,68,68.0,68.0,68.0,new_lupus,new_lupus,count,gbm,1,12,brier,0.4493690916378627
69,69,69.0,69.0,69.0,new_lupus,new_lupus,count,gbm,2,12,auroc,0.6181961313540261
70,70,70.0,70.0,70.0,new_lupus,new_lupus,count,gbm,2,12,auprc,0.0839807288176866
71,71,71.0,71.0,71.0,new_lupus,new_lupus,count,gbm,2,12,brier,0.3082559816826939
72,72,72.0,72.0,72.0,new_lupus,new_lupus,count,gbm,3,12,auroc,0.5943207377417904
73,73,73.0,73.0,73.0,new_lupus,new_lupus,count,gbm,3,12,auprc,0.0210383427239379
74,74,74.0,74.0,74.0,new_lupus,new_lupus,count,gbm,3,12,brier,0.5038087599098627
