,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
48,48,48.0,48.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,8,auroc,0.5103231185857315
49,49,49.0,49.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,8,auprc,0.0258160068744735
50,50,50.0,50.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,8,brier,0.5022932384389173
51,51,51.0,51.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,8,auroc,0.5789156043709257
52,52,52.0,52.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,8,auprc,0.0349494040226078
53,53,53.0,53.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,8,brier,0.6531650747500345
54,54,54.0,54.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,8,auroc,0.5447510144002841
55,55,55.0,55.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,8,auprc,0.030613458521317
56,56,56.0,56.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,8,brier,0.6651727605598589
57,57,57.0,57.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,8,auroc,0.5265008142953038
58,58,58.0,58.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,8,auprc,0.026490003079772
59,59,59.0,59.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,8,brier,0.1583700476246011
60,60,60.0,60.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,8,auroc,0.5066878979703663
61,61,61.0,61.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,8,auprc,0.0248816678169658
62,62,62.0,62.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,8,brier,0.5522906605101168
63,63,63.0,63.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,12,auroc,0.4467096878126041
64,64,64.0,64.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,12,auprc,0.0207333374006386
65,65,65.0,65.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,12,brier,0.4146754489527814
66,66,66.0,66.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,12,auroc,0.5102677103192409
67,67,67.0,67.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,12,auprc,0.0247165834902569
68,68,68.0,68.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,12,brier,0.3900448807981516
69,69,69.0,69.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,12,auroc,0.5419049185857026
70,70,70.0,70.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,12,auprc,0.0328730618007124
71,71,71.0,71.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,12,brier,0.3327512790597359
