,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
48,48.0,48.0,48.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,8,auroc,0.5300638634759915
49,49.0,49.0,49.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,8,auprc,0.3063856953894743
50,50.0,50.0,50.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,8,brier,0.4066245755781063
51,51.0,51.0,51.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,8,auroc,0.5236245063828013
52,52.0,52.0,52.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,8,auprc,0.3049386795850717
53,53.0,53.0,53.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,8,brier,0.508316274965399
54,54.0,54.0,54.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,8,auroc,0.4763079476759957
55,55.0,55.0,55.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,8,auprc,0.2829291197218301
56,56.0,56.0,56.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,8,brier,0.5455567158876884
57,57.0,57.0,57.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,8,auroc,0.5049800208949354
58,58.0,58.0,58.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,8,auprc,0.2934513187772565
59,59.0,59.0,59.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,8,brier,0.4116694972542819
60,60.0,60.0,60.0,lab_hyponatremia,lab_hyponatremia,count,gbm,4,8,auroc,0.5277168642026367
61,61.0,61.0,61.0,lab_hyponatremia,lab_hyponatremia,count,gbm,4,8,auprc,0.298788067670914
62,62.0,62.0,62.0,lab_hyponatremia,lab_hyponatremia,count,gbm,4,8,brier,0.3636494165479011
63,63.0,63.0,63.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,12,auroc,0.5591800145899234
64,64.0,64.0,64.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,12,auprc,0.3402317199298883
65,65.0,65.0,65.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,12,brier,0.4106330256775932
66,66.0,66.0,66.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,12,auroc,0.5262031158754717
67,67.0,67.0,67.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,12,auprc,0.3053889465436075
68,68.0,68.0,68.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,12,brier,0.5098824883734963
69,69.0,69.0,69.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,12,auroc,0.5200385258276623
70,70.0,70.0,70.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,12,auprc,0.2953187752399834
71,71.0,71.0,71.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,12,brier,0.5359989354598573
72,72.0,72.0,72.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,12,auroc,0.4974639356498673
73,73.0,73.0,73.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,12,auprc,0.2876763685006809
74,74.0,74.0,74.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,12,brier,0.4189580706649147
75,75.0,75.0,75.0,lab_hyponatremia,lab_hyponatremia,count,gbm,4,12,auroc,0.5077216081940891
76,76.0,76.0,76.0,lab_hyponatremia,lab_hyponatremia,count,gbm,4,12,auprc,0.2917359881092034
77,77.0,77.0,77.0,lab_hyponatremia,lab_hyponatremia,count,gbm,4,12,brier,0.4560458145604036
78,78.0,78.0,78.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,16,auroc,0.5131194648915146
79,79.0,79.0,79.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,16,auprc,0.2944310245805297
80,80.0,80.0,80.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,16,brier,0.4337568721149811
81,81.0,81.0,81.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,16,auroc,0.5247624751377808
82,82.0,82.0,82.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,16,auprc,0.3099321448140026
83,83.0,83.0,83.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,16,brier,0.4849148370424965
84,84.0,84.0,84.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,16,auroc,0.51092008234551
85,85.0,85.0,85.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,16,auprc,0.297400878884875
86,86.0,86.0,86.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,16,brier,0.4782687361976308
87,87.0,87.0,87.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,16,auroc,0.4780971774036378
88,88.0,88.0,88.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,16,auprc,0.281932845704541
89,89.0,89.0,89.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,16,brier,0.4558654599702058
90,90.0,90.0,90.0,lab_hyponatremia,lab_hyponatremia,count,gbm,4,16,auroc,0.5482191499020943
91,91.0,91.0,91.0,lab_hyponatremia,lab_hyponatremia,count,gbm,4,16,auprc,0.3149844021487163
92,92.0,92.0,92.0,lab_hyponatremia,lab_hyponatremia,count,gbm,4,16,brier,0.4998879616425241
93,93.0,93.0,93.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,24,auroc,0.5238958070404482
94,94.0,94.0,94.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,24,auprc,0.3067868172456471
95,95.0,95.0,95.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,24,brier,0.3482704072400559
96,96.0,96.0,96.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,24,auroc,0.5283963337814507
97,97.0,97.0,97.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,24,auprc,0.3043246604132089
98,98.0,98.0,98.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,24,brier,0.4013101802642846
99,99.0,99.0,99.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,24,auroc,0.5162207362288993
100,100.0,100.0,100.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,24,auprc,0.2939236161595566
101,101.0,101.0,101.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,24,brier,0.4149925263590149
102,102.0,102.0,102.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,24,auroc,0.5039610327345688
103,103.0,103.0,103.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,24,auprc,0.2959347576615549
104,104.0,104.0,104.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,24,brier,0.4351865826862603
105,105.0,105.0,105.0,lab_hyponatremia,lab_hyponatremia,count,gbm,4,24,auroc,0.5356976034856514
106,106.0,106.0,106.0,lab_hyponatremia,lab_hyponatremia,count,gbm,4,24,auprc,0.3101849400711353
107,107.0,107.0,107.0,lab_hyponatremia,lab_hyponatremia,count,gbm,4,24,brier,0.5003955503250678
