,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
54,54.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,8,auroc,0.5285548385622996
55,55.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,8,auprc,0.0145707388263142
56,56.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,8,brier,0.3736886023622442
57,57.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,8,auroc,0.4602763003147991
58,58.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,8,auprc,0.0124173867371006
59,59.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,8,brier,0.6138948749387854
60,60.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,8,auroc,0.5068429084724579
61,61.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,8,auprc,0.0150615866429275
62,62.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,8,brier,0.4458493604748416
63,63.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,12,auroc,0.5265865483812017
64,64.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,12,auprc,0.014290631511058
65,65.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,12,brier,0.5147531629942631
66,66.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,12,auroc,0.5121441819644879
67,67.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,12,auprc,0.0138292230764869
68,68.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,12,brier,0.5643915369735875
69,69.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,12,auroc,0.4870963541666666
70,70.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,12,auprc,0.0130031703892694
71,71.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,12,brier,0.5468385536308253
72,72.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,12,auroc,0.5231673158661101
73,73.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,12,auprc,0.0145247611394786
74,74.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,12,brier,0.5354571865032124
75,75.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,12,auroc,0.4942590983717694
76,76.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,12,auprc,0.01311645418329
77,77.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,12,brier,0.4815687801206224
78,78.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,16,auroc,0.4671051563089511
79,79.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,16,auprc,0.0118732014406994
80,80.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,16,brier,0.4587536797716307
81,81.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,16,auroc,0.5280238803704489
82,82.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,16,auprc,0.0145997376030466
83,83.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,16,brier,0.4647252134552449
84,84.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,16,auroc,0.4858802658106961
85,85.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,16,auprc,0.0132796650089646
86,86.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,16,brier,0.4318980611964787
87,87.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,16,auroc,0.5231282644194492
