,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
56,56.0,56.0,56.0,new_celiac,new_celiac,count,gbm,2,8,brier,0.4661033842716282
57,57.0,57.0,57.0,new_celiac,new_celiac,count,gbm,3,8,auroc,0.5331991951710261
58,58.0,58.0,58.0,new_celiac,new_celiac,count,gbm,3,8,auprc,0.0207052343997618
59,59.0,59.0,59.0,new_celiac,new_celiac,count,gbm,3,8,brier,0.5731319566408182
60,60.0,60.0,60.0,new_celiac,new_celiac,count,gbm,4,8,auroc,0.5671880746846671
61,61.0,61.0,61.0,new_celiac,new_celiac,count,gbm,4,8,auprc,0.0132403742004726
62,62.0,62.0,62.0,new_celiac,new_celiac,count,gbm,4,8,brier,0.4020022059432306
63,63.0,63.0,63.0,new_celiac,new_celiac,count,gbm,0,12,auroc,0.4008783886112372
64,64.0,64.0,64.0,new_celiac,new_celiac,count,gbm,0,12,auprc,0.0078217714153286
65,65.0,65.0,65.0,new_celiac,new_celiac,count,gbm,0,12,brier,0.4933683098878292
66,66.0,66.0,66.0,new_celiac,new_celiac,count,gbm,1,12,auroc,0.5680426645896888
67,67.0,67.0,67.0,new_celiac,new_celiac,count,gbm,1,12,auprc,0.0112908602580447
68,68.0,68.0,68.0,new_celiac,new_celiac,count,gbm,1,12,brier,0.3706697802222028
69,69.0,69.0,69.0,new_celiac,new_celiac,count,gbm,2,12,auroc,0.6268471041301573
70,70.0,70.0,70.0,new_celiac,new_celiac,count,gbm,2,12,auprc,0.0209162429873706
71,71.0,71.0,71.0,new_celiac,new_celiac,count,gbm,2,12,brier,0.4731617775684138
72,72.0,72.0,72.0,new_celiac,new_celiac,count,gbm,3,12,auroc,0.438588520369529
73,73.0,73.0,73.0,new_celiac,new_celiac,count,gbm,3,12,auprc,0.0101136252849988
74,74.0,74.0,74.0,new_celiac,new_celiac,count,gbm,3,12,brier,0.4231143348008451
75,75.0,75.0,75.0,new_celiac,new_celiac,count,gbm,4,12,auroc,0.7165357737824798
76,76.0,76.0,76.0,new_celiac,new_celiac,count,gbm,4,12,auprc,0.0221594518015352
77,77.0,77.0,77.0,new_celiac,new_celiac,count,gbm,4,12,brier,0.2447995870031834
78,78.0,78.0,78.0,new_celiac,new_celiac,count,gbm,0,16,auroc,0.4690400467320049
79,79.0,79.0,79.0,new_celiac,new_celiac,count,gbm,0,16,auprc,0.0093150597872763
80,80.0,80.0,80.0,new_celiac,new_celiac,count,gbm,0,16,brier,0.5627027171274533
