,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
48,48.0,48.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,8,auroc,0.582529194751933
49,49.0,49.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,8,auprc,0.3962361812534891
50,50.0,50.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,8,brier,0.4594350669519216
51,51.0,51.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,8,auroc,0.5685337669488171
52,52.0,52.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,8,auprc,0.4447847465575179
53,53.0,53.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,8,brier,0.453888010825101
54,54.0,54.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,8,auroc,0.6472136623701752
55,55.0,55.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,8,auprc,0.5108384998170711
56,56.0,56.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,8,brier,0.3889006594118331
57,57.0,57.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,8,auroc,0.6033208494226191
58,58.0,58.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,8,auprc,0.4412555198417032
59,59.0,59.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,8,brier,0.304632561210615
60,60.0,60.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,8,auroc,0.5874435417750966
61,61.0,61.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,8,auprc,0.4067570551183128
62,62.0,62.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,8,brier,0.3846361156884528
63,63.0,63.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,12,auroc,0.5965700970507124
64,64.0,64.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,12,auprc,0.4377682496563002
65,65.0,65.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,12,brier,0.4537306550668161
66,66.0,66.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,12,auroc,0.5730660075480274
67,67.0,67.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,12,auprc,0.4250581109977999
68,68.0,68.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,12,brier,0.4881269095285704
69,69.0,69.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,12,auroc,0.6486054384285759
70,70.0,70.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,12,auprc,0.4788861466931092
71,71.0,71.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,12,brier,0.3806796257676059
72,72.0,72.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,12,auroc,0.5618304584073153
73,73.0,73.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,12,auprc,0.4113913732701017
