,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
51,51,51.0,51.0,51.0,new_acutemi,new_acutemi,count,gbm,1,8,auroc,0.606511248389085
52,52,52.0,52.0,52.0,new_acutemi,new_acutemi,count,gbm,1,8,auprc,0.1020120486643709
53,53,53.0,53.0,53.0,new_acutemi,new_acutemi,count,gbm,1,8,brier,0.4710018640137494
54,54,54.0,54.0,54.0,new_acutemi,new_acutemi,count,gbm,2,8,auroc,0.585793480697036
55,55,55.0,55.0,55.0,new_acutemi,new_acutemi,count,gbm,2,8,auprc,0.0988690319121276
56,56,56.0,56.0,56.0,new_acutemi,new_acutemi,count,gbm,2,8,brier,0.3128936200955297
57,57,57.0,57.0,57.0,new_acutemi,new_acutemi,count,gbm,3,8,auroc,0.4675995965708521
58,58,58.0,58.0,58.0,new_acutemi,new_acutemi,count,gbm,3,8,auprc,0.0636459205902267
59,59,59.0,59.0,59.0,new_acutemi,new_acutemi,count,gbm,3,8,brier,0.5449069848265641
60,60,60.0,60.0,60.0,new_acutemi,new_acutemi,count,gbm,4,8,auroc,0.5199210651650137
61,61,61.0,61.0,61.0,new_acutemi,new_acutemi,count,gbm,4,8,auprc,0.070166512570215
62,62,62.0,62.0,62.0,new_acutemi,new_acutemi,count,gbm,4,8,brier,0.3556888477141403
63,63,63.0,63.0,63.0,new_acutemi,new_acutemi,count,gbm,0,12,auroc,0.6398326749593769
64,64,64.0,64.0,64.0,new_acutemi,new_acutemi,count,gbm,0,12,auprc,0.1128211891962829
65,65,65.0,65.0,65.0,new_acutemi,new_acutemi,count,gbm,0,12,brier,0.4979537385763842
66,66,66.0,66.0,66.0,new_acutemi,new_acutemi,count,gbm,1,12,auroc,0.6090694514484227
67,67,67.0,67.0,67.0,new_acutemi,new_acutemi,count,gbm,1,12,auprc,0.0855607892961956
68,68,68.0,68.0,68.0,new_acutemi,new_acutemi,count,gbm,1,12,brier,0.4839805130122758
69,69,69.0,69.0,69.0,new_acutemi,new_acutemi,count,gbm,2,12,auroc,0.6215575446853813
70,70,70.0,70.0,70.0,new_acutemi,new_acutemi,count,gbm,2,12,auprc,0.0950418669106686
71,71,71.0,71.0,71.0,new_acutemi,new_acutemi,count,gbm,2,12,brier,0.3171492561108987
72,72,72.0,72.0,72.0,new_acutemi,new_acutemi,count,gbm,3,12,auroc,0.4354846052557853
73,73,73.0,73.0,73.0,new_acutemi,new_acutemi,count,gbm,3,12,auprc,0.063948981202804
74,74,74.0,74.0,74.0,new_acutemi,new_acutemi,count,gbm,3,12,brier,0.4838940001198127
75,75,75.0,75.0,75.0,new_acutemi,new_acutemi,count,gbm,4,12,auroc,0.4807320558076988
76,76,76.0,76.0,76.0,new_acutemi,new_acutemi,count,gbm,4,12,auprc,0.0649315908194281
77,77,77.0,77.0,77.0,new_acutemi,new_acutemi,count,gbm,4,12,brier,0.4307712564124406
78,78,78.0,78.0,78.0,new_acutemi,new_acutemi,count,gbm,0,16,auroc,0.6157424917353056
79,79,79.0,79.0,79.0,new_acutemi,new_acutemi,count,gbm,0,16,auprc,0.1024434847435944
80,80,80.0,80.0,80.0,new_acutemi,new_acutemi,count,gbm,0,16,brier,0.3527678112644264
81,81,81.0,81.0,81.0,new_acutemi,new_acutemi,count,gbm,1,16,auroc,0.7093103883005547
82,82,82.0,82.0,82.0,new_acutemi,new_acutemi,count,gbm,1,16,auprc,0.1307374047072487
83,83,83.0,83.0,83.0,new_acutemi,new_acutemi,count,gbm,1,16,brier,0.3601069262530023
84,84,84.0,84.0,84.0,new_acutemi,new_acutemi,count,gbm,2,16,auroc,0.5655064576679554
85,85,85.0,85.0,85.0,new_acutemi,new_acutemi,count,gbm,2,16,auprc,0.0915336174121437
86,86,86.0,86.0,86.0,new_acutemi,new_acutemi,count,gbm,2,16,brier,0.3404039694450224
87,87,87.0,87.0,87.0,new_acutemi,new_acutemi,count,gbm,3,16,auroc,0.5577285398106124
88,88,88.0,88.0,88.0,new_acutemi,new_acutemi,count,gbm,3,16,auprc,0.1133205771945738
89,89,89.0,89.0,89.0,new_acutemi,new_acutemi,count,gbm,3,16,brier,0.3934967992163428
90,90,90.0,90.0,90.0,new_acutemi,new_acutemi,count,gbm,4,16,auroc,0.6077106796660503
91,91,91.0,91.0,91.0,new_acutemi,new_acutemi,count,gbm,4,16,auprc,0.0972364855096422
92,92,92.0,92.0,92.0,new_acutemi,new_acutemi,count,gbm,4,16,brier,0.3763473776926702
93,93,93.0,93.0,93.0,new_acutemi,new_acutemi,count,gbm,0,24,auroc,0.6965701518462487
94,94,94.0,94.0,94.0,new_acutemi,new_acutemi,count,gbm,0,24,auprc,0.1601410911765069
95,95,95.0,95.0,95.0,new_acutemi,new_acutemi,count,gbm,0,24,brier,0.2360911178273278
96,96,96.0,96.0,96.0,new_acutemi,new_acutemi,count,gbm,1,24,auroc,0.7050239536056481
