,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
54,54.0,54.0,54.0,lab_anemia,lab_anemia,count,gbm,2,8,auroc,0.6269737827153704
55,55.0,55.0,55.0,lab_anemia,lab_anemia,count,gbm,2,8,auprc,0.7635036041789556
56,56.0,56.0,56.0,lab_anemia,lab_anemia,count,gbm,2,8,brier,0.4367337442654492
57,57.0,57.0,57.0,lab_anemia,lab_anemia,count,gbm,3,8,auroc,0.6453206264335315
58,58.0,58.0,58.0,lab_anemia,lab_anemia,count,gbm,3,8,auprc,0.7744833626118119
59,59.0,59.0,59.0,lab_anemia,lab_anemia,count,gbm,3,8,brier,0.4465741334046613
60,60.0,60.0,60.0,lab_anemia,lab_anemia,count,gbm,4,8,auroc,0.542131591820068
61,61.0,61.0,61.0,lab_anemia,lab_anemia,count,gbm,4,8,auprc,0.7197088111717541
62,62.0,62.0,62.0,lab_anemia,lab_anemia,count,gbm,4,8,brier,0.4308258425314907
63,63.0,63.0,63.0,lab_anemia,lab_anemia,count,gbm,0,12,auroc,0.6116620418296951
64,64.0,64.0,64.0,lab_anemia,lab_anemia,count,gbm,0,12,auprc,0.7559115496431879
65,65.0,65.0,65.0,lab_anemia,lab_anemia,count,gbm,0,12,brier,0.5058538692722212
66,66.0,66.0,66.0,lab_anemia,lab_anemia,count,gbm,1,12,auroc,0.614687051169598
67,67.0,67.0,67.0,lab_anemia,lab_anemia,count,gbm,1,12,auprc,0.7595526306491727
68,68.0,68.0,68.0,lab_anemia,lab_anemia,count,gbm,1,12,brier,0.4434980771326196
69,69.0,69.0,69.0,lab_anemia,lab_anemia,count,gbm,2,12,auroc,0.6365569661161186
70,70.0,70.0,70.0,lab_anemia,lab_anemia,count,gbm,2,12,auprc,0.7724997364626726
71,71.0,71.0,71.0,lab_anemia,lab_anemia,count,gbm,2,12,brier,0.4626034228854915
72,72.0,72.0,72.0,lab_anemia,lab_anemia,count,gbm,3,12,auroc,0.5953501405955484
73,73.0,73.0,73.0,lab_anemia,lab_anemia,count,gbm,3,12,auprc,0.7371347927727345
74,74.0,74.0,74.0,lab_anemia,lab_anemia,count,gbm,3,12,brier,0.3209756039348263
75,75.0,75.0,75.0,lab_anemia,lab_anemia,count,gbm,4,12,auroc,0.6869664834548375
76,76.0,76.0,76.0,lab_anemia,lab_anemia,count,gbm,4,12,auprc,0.7978680867809194
77,77.0,77.0,77.0,lab_anemia,lab_anemia,count,gbm,4,12,brier,0.3117771130561466
78,78.0,78.0,78.0,lab_anemia,lab_anemia,count,gbm,0,16,auroc,0.5008454553728053
79,79.0,79.0,79.0,lab_anemia,lab_anemia,count,gbm,0,16,auprc,0.70844908831734
80,80.0,80.0,80.0,lab_anemia,lab_anemia,count,gbm,0,16,brier,0.5676397467601693
81,81.0,81.0,81.0,lab_anemia,lab_anemia,count,gbm,1,16,auroc,0.6412005326513445
82,82.0,82.0,82.0,lab_anemia,lab_anemia,count,gbm,1,16,auprc,0.7778275713917104
83,83.0,83.0,83.0,lab_anemia,lab_anemia,count,gbm,1,16,brier,0.4138520036617056
84,84.0,84.0,84.0,lab_anemia,lab_anemia,count,gbm,2,16,auroc,0.6266627651519503
